parent,distance,keytag,importance,biz_ext,type,photos,building,typecode,shopinfo,poiweight,adname,featured_reviews_remake,tel,id,address,space_num,pname,biz_type,cityname,childtype,atag,name,location,shopid,favorite_num,featured_reviews,rating,cost,cost_missing,rating_missing,rating_is_zero,valid_for_model,type_main,cat_level1,cat_level2,tag_list
B0FFH2VWTH,[],烧烤,[],[],餐饮服务;中餐厅;特色/地方风味餐厅,[],[],050118,0,[],上城区,[],17280744194,B0I07DLSY0,新业路228号来福士6层,[],浙江省,diner,杭州市,201,"呼伦贝尔羊肉串,就是呼伦贝尔羊肉串,五花肉,烤肉,羊肉,羊肉串",很久以前羊肉串(杭州来福士店),"120.212917,30.249512",[],[],[],4.6,87,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮服务,中餐厅,"['呼伦贝尔羊肉串', '就是呼伦贝尔羊肉串', '五花肉', '烤肉', '羊肉', '羊肉串']"
B0H07X5CU0,[],打边炉,[],[],餐饮服务;中餐厅;火锅店,[],[],050117,0,[],上城区,[],0571-86892889,B0FFLJUT1C,新业路228号来福士中心1幢5001、5002、5004室,[],浙江省,diner,杭州市,202,"牛肉,双人餐",上房火鍋(杭州来福士中心店),"120.212440,30.248310",[],[],[],4.7,487,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;火锅店,餐饮服务,中餐厅,"['牛肉', '双人餐']"
B0FFH2VWTH,[],牛肉火锅,[],[],餐饮服务;中餐厅;火锅店,[],[],050117,0,[],上城区,[],0571-86091580,B0KRPGKMZH,四季青街道新业路228号杭州来福士中心3层15/16号,[],浙江省,diner,杭州市,201,"牛肉,双人餐",八合里潮汕鲜牛肉火锅(杭州来福士店),"120.212709,30.249027",[],[],[],4.6,105,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;火锅店,餐饮服务,中餐厅,"['牛肉', '双人餐']"
B0J26CYRI7,[],牛肉火锅,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],上城区,[],19705029822,B0LUCUSXJV,民心路与新业路交叉路口往东北约150米中国人寿大厦2号楼2层206室,[],浙江省,diner,杭州市,202,[],泉市鲜活牛肉店(钱江新城店),"120.212096,30.250237",[],[],[],4.7,111,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,[]
B0FFH2VWTH,[],自助餐,[],[],餐饮服务;外国餐厅;日本料理,[],[],050202,0,[],上城区,[],0571-86022015,B0I1ODBA7N,新业路228号杭州来福士中心六楼,[],浙江省,diner,杭州市,202,"虎皮凤爪,椒麻大虾,渣渣牛肉锅,热卤猪蹄,小龙虾,云南风味酸菜牛肉锅,双人餐,牛肉,自助餐",牛New寿喜烧(来福士店),"120.212943,30.249170",[],[],[],4.7,172,FALSE,FALSE,FALSE,TRUE,餐饮服务;外国餐厅;日本料理,餐饮服务,外国餐厅,"['虎皮凤爪', '椒麻大虾', '渣渣牛肉锅', '热卤猪蹄', '小龙虾', '云南风味酸菜牛肉锅', '双人餐', '牛肉', '自助餐']"
B0H07X5CU0,[],火锅,[],[],餐饮服务;中餐厅;火锅店,[],[],050117,0,[],上城区,[],0571-88969777;19157816942,B0JKZCUNEC,西子火锅·钱塘江江景餐厅(来福士店),[],浙江省,diner,杭州市,202,"小火锅,牛肉饼,鹅肉,烧鹅,鲍鱼,帝王蟹",西子火锅(来福士店),"120.212391,30.248369",[],[],[],4.7,569,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;火锅店,餐饮服务,中餐厅,"['小火锅', '牛肉饼', '鹅肉', '烧鹅', '鲍鱼', '帝王蟹']"
B0I1LCMZ0B,[],牛肉火锅,[],[],餐饮服务;中餐厅;火锅店,[],[],050117,0,[],上城区,[],[],B0JB3CEZBS,钱江新城万潮星汇1幢101-102,[],浙江省,diner,杭州市,202,"牛肉火锅,单人餐",小牛滔滔贵州黄牛肉火锅(钱江新城店),"120.209460,30.250520",[],[],[],4.7,92,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;火锅店,餐饮服务,中餐厅,"['牛肉火锅', '单人餐']"
B0H07X5CU0,[],粤菜,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],上城区,[],0571-88370188;18958026398;19357639397,B0HKCUD6MK,来福士中心1幢5801室,[],浙江省,diner,杭州市,202,"帝王蟹两仪,黑松露玻璃乳鸽,黑松露蛋白蒸龙虾,鲍汁焖猪手,黄油蟹,官燕锦鲤布丁,招牌瑶柱炖响螺,龙虾汤蒸帝王蟹,文火雪花牛小排,宫廷鸽吞燕,碳烧牛肋骨,伊比利亚5J火腿,十年花雕醉台山膏蟹,酸汤大鲍翅,招牌鲜果拿破仑,龙虾汤蒸松叶蟹,潮汕生腌小青龙,榄仁桂花阿拉斯加蟹,红胡椒砂锅焗蟹,苏格兰竹蛏皇,黑松露脆皮黄玉参,柠檬,点心,鸡汤,鹅肝,火腿,鸡爪",粤榕轩·君宴,"120.212506,30.248438",[],[],[],4.7,498,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,"['帝王蟹两仪', '黑松露玻璃乳鸽', '黑松露蛋白蒸龙虾', '鲍汁焖猪手', '黄油蟹', '官燕锦鲤布丁', '招牌瑶柱炖响螺', '龙虾汤蒸帝王蟹', '文火雪花牛小排', '宫廷鸽吞燕', '碳烧牛肋骨', '伊比利亚5J火腿', '十年花雕醉台山膏蟹', '酸汤大鲍翅', '招牌鲜果拿破仑', '龙虾汤蒸松叶蟹', '潮汕生腌小青龙', '榄仁桂花阿拉斯加蟹', '红胡椒砂锅焗蟹', '苏格兰竹蛏皇', '黑松露脆皮黄玉参', '柠檬', '点心', '鸡汤', '鹅肝', '火腿', '鸡爪']"
B0FFH2VWTH,[],自助餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],上城区,[],0571-81968111;0571-88127222,B0J2PRDBTW,新业路228号来福士广场中心03层07号,[],浙江省,diner,杭州市,201,"刺身拼盘,牛肉,三文鱼,刺身,寿司,龙虾,芝士,鲍鱼",極上萬膳·日料放题(来福士中心店),"120.212521,30.248316",[],[],[],4.7,349,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,"['刺身拼盘', '牛肉', '三文鱼', '刺身', '寿司', '龙虾', '芝士', '鲍鱼']"
B0G3DL3IY3,[],中餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],上城区,[],0571-85555188,B0H1AC4E5M,解放东路45号高德商场F5层,[],浙江省,diner,杭州市,202,"土豆泥,巧克力,杨枝甘露,牛肉,牛蛙,鲍鱼,奶油,水果茶,红烧肉,下午茶,芋泥,虾仁",3号仓库·创意中国菜(钱江新城店),"120.208308,30.243343",[],[],[],4.7,106,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,"['土豆泥', '巧克力', '杨枝甘露', '牛肉', '牛蛙', '鲍鱼', '奶油', '水果茶', '红烧肉', '下午茶', '芋泥', '虾仁']"
